order_status,reason,payer_id,order_mode,day,count
No show,Billed no show,Ingham County Medical Care Facility,Wheelchair,Tuesday,3
Canceled,Same Day Cancel,Auto Case,Ambulatory,Wednesday,3
Canceled,No Show,"Managed Rehabilitation Consultants, Inc.",Ambulatory,Thursday,3
Canceled,No Show,SafeRide Health - Priority Medicaid,Ambulatory,Monday,3
No show,Billed no show,Optalis Healthcare of Grand Rapids,Wheelchair,Monday,3
Canceled,Confirmation Cancel,Rehabilitation Management and Consulting,Wheelchair,Wednesday,3
Canceled,No Show,MTM,Wheelchair,Tuesday,3
No show,Billed no show,PP,Wheelchair,Friday,3
Canceled,No Show,MTM,Wheelchair,Friday,3
Canceled,Unable to Accommodate,Bronson Battle Creek Hospital - Social Work,Ambulatory,Friday,3
Canceled,No Show,Battle Creek VA,Wheelchair,Tuesday,3
Canceled,Unable to Accommodate,PP,Wheelchair,Saturday,3
Canceled,Unable to Accommodate,PP,Wheelchair,Monday,3
Canceled,Unable to Accommodate,Optalis - Muskegon,Wheelchair,Wednesday,3
Canceled,Unable to Accommodate,Auto Case,Ambulatory,Thursday,3
Canceled,Unable to Accommodate,Laurels of Hudsonville,Wheelchair,Friday,3
No show,Billed no show,Valley View Care Center,Wheelchair,Saturday,3
Canceled,Unable to Accommodate,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Thursday,3
Canceled,Unable to Accommodate,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Friday,3
No show,No Show,Battle Creek VA,Wheelchair,Thursday,3
Canceled,Same Day Cancel,Ambrose Care Management,Wheelchair,Thursday,3
Canceled,Confirmation Cancel,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Friday,3
Canceled,Completed,MTM,Wheelchair,Thursday,3
Canceled,Billed no show,Valley View Care Center,Wheelchair,Monday,3
Canceled,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Tuesday,3
Canceled,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Saturday,3
Canceled,Billed no show,Valley View Care Center,Wheelchair,Thursday,3
Canceled,Billed no show,Valley View Care Center,Wheelchair,Tuesday,3
Canceled,Billed no show,Harold and Grace Upjohn Community Care Center,Wheelchair,Tuesday,3
Canceled,Billed no show,Valley View Care Center,Wheelchair,Saturday,3
Canceled,Confirmation Cancel,Longevity Health Plan - Dobie Road,Wheelchair,Tuesday,3
No show,No Show,SafeRide Health - Priority Medicaid,Wheelchair,Monday,3
Canceled,Billed no show,Corewell Health Rehab & Nursing Center - Kentridge,Wheelchair,Tuesday,3
Canceled,Billed no show,Battle Creek VA,Wheelchair,Wednesday,3
Canceled,Confirmation Cancel,Holt Senior Care & Rehab Center,Wheelchair,Saturday,3
Canceled,Billed no show,Ingham County Medical Care Facility,Wheelchair,Tuesday,3
Canceled,Confirmation Cancel,Auto Case,Wheelchair,Tuesday,3
Canceled,Billed no show,Ingham County Medical Care Facility,Wheelchair,Monday,3
Canceled,Billed no show,Holt Senior Care & Rehab Center,Wheelchair,Tuesday,3
No show,No Show,MTM,Wheelchair,Tuesday,3
Canceled,Confirmation Cancel,MTM,Wheelchair,Wednesday,3
Canceled,Billed no show,Optalis at Kent-Crossing,Wheelchair,Friday,3
Canceled,Billed no show,Optalis Healthcare of Grand Rapids,Wheelchair,Monday,3
No show,Billed no show,Optalis Wyoming,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Bronson Battle Creek Hospital - ED,Ambulatory,Saturday,2
No show,Billed no show,Optalis Healthcare of Grand Rapids,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Burcham Hills,Wheelchair,Monday,2
Canceled,Unable to Accommodate,Burcham Hills,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Corewell Health Rehab & Nursing Center - Kentridge,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,Freedom Village,Wheelchair,Friday,2
Canceled,Unable to Accommodate,Dimondale NCC,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Harbor Post-Acute Center,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Ingham County Medical Care Facility,Wheelchair,Monday,2
Canceled,Billed no show,Optalis Healthcare of Grand Rapids,Ambulatory,Monday,2
Canceled,Unable to Accommodate,Holt Senior Care & Rehab Center,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,Holt Senior Care & Rehab Center,Wheelchair,Saturday,2
Canceled,Unable to Accommodate,Holt Senior Care & Rehab Center,Wheelchair,Friday,2
Canceled,Unable to Accommodate,Harold and Grace Upjohn Community Care Center,Wheelchair,Monday,2
Canceled,Unable to Accommodate,Harbor Post-Acute Center,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Feonix-Mobility Rising,Wheelchair,Tuesday,2
No show,Billed no show,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Freedom Village,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Freedom Village,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Freedom Village,Wheelchair,Thursday,2
No show,Billed no show,Optalis at Kent-Crossing,Wheelchair,Monday,2
Canceled,Unable to Accommodate,Feonix-Mobility Rising,Wheelchair,Wednesday,2
Canceled,Billed no show,Optalis at Leonard,Wheelchair,Friday,2
Canceled,Confirmation Cancel,Plainwell Pines Nursing & Rehabilitation Center,Wheelchair,Friday,2
Canceled,Billed no show,Optalis at Leonard,Wheelchair,Wednesday,2
Canceled,Turned Down,PP,Ambulatory,Thursday,2
No show,No Show,Kent County MDHHS,Ambulatory,Thursday,2
Canceled,Confirmation Cancel,Bronson Battle Creek Hospital,Ambulatory,Thursday,2
Canceled,Confirmation Cancel,Bronson Battle Creek Hospital,Ambulatory,Friday,2
Canceled,Confirmation Cancel,Auto Case,Wheelchair,Wednesday,2
Canceled,Same Day Cancel,The Courtyard at Delta's,Ambulatory,Thursday,2
Canceled,Confirmation Cancel,Auto Case,Wheelchair,Friday,2
Canceled,Completed,MTM,Wheelchair,Tuesday,2
Canceled,Completed,MTM,Wheelchair,Monday,2
Canceled,Completed,MTM,Ambulatory,Thursday,2
Canceled,Completed,MTM,Ambulatory,Saturday,2
Canceled,Confirmation Cancel,Plainwell Pines Nursing & Rehabilitation Center,Wheelchair,Tuesday,2
Canceled,Turned Down,MTM,Ambulatory,Tuesday,2
Canceled,Turned Down,RYW,Ambulatory,Wednesday,2
Canceled,Billed no show,PP,Wheelchair,Thursday,2
Canceled,Turned Down,SafeRide Health - Priority Medicaid,Ambulatory,Friday,2
Canceled,Turned Down,SafeRide Health - Priority Medicaid,Ambulatory,Monday,2
Canceled,Turned Down,SafeRide Health - Priority Medicaid,Ambulatory,Saturday,2
Canceled,Turned Down,SafeRide Health - Priority Medicaid,Ambulatory,Wednesday,2
Canceled,Unable to Accommodate,Allendale Nursing and Rehabilitation Community,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Ambrose Care Management,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Auto Case,Ambulatory,Monday,2
Canceled,Unable to Accommodate,Auto Case,Wheelchair,Friday,2
Canceled,Unable to Accommodate,Auto Case,Wheelchair,Thursday,2
Canceled,Billed no show,Valley View Care Center,Stretcher,Tuesday,2
Canceled,Billed no show,Resthaven Care Center,Wheelchair,Monday,2
Canceled,Billed no show,Plainwell Pines Nursing & Rehabilitation Center,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Ingham County Medical Care Facility,Wheelchair,Saturday,2
Canceled,Billed no show,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Tuesday,2
Canceled,Billed no show,Optalis - Muskegon,Stretcher,Tuesday,2
Canceled,Unable to Accommodate,Willows At East Lansing,Wheelchair,Monday,2
Canceled,Billed no show,Harold and Grace Upjohn Community Care Center,Wheelchair,Monday,2
Canceled,Billed no show,Dimondale NCC,Wheelchair,Wednesday,2
Canceled,Billed no show,Dimondale NCC,Wheelchair,Friday,2
Canceled,Billed no show,Covenant Living of the Great Lakes,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,SafeRide Health - Priority Medicaid,Wheelchair,Tuesday,2
Canceled,Billed no show,Covenant Living of the Great Lakes,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,Saginaw Nursing and Rehab,Wheelchair,Monday,2
Canceled,Unable to Accommodate,Saginaw Nursing and Rehab,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,The Courtyard at Delta's,Ambulatory,Friday,2
Canceled,Unable to Accommodate,The Courtyard at Delta's,Wheelchair,Wednesday,2
Canceled,Billed no show,Covenant Living of the Great Lakes,Wheelchair,Monday,2
Canceled,Unable to Accommodate,Villa at Borgess Place,Wheelchair,Friday,2
Canceled,Unable to Accommodate,Villa at Borgess Place,Wheelchair,Monday,2
Canceled,Unable to Accommodate,Willows At East Lansing,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,ReviewWorks,Ambulatory,Thursday,2
Canceled,Unable to Accommodate,Willows At East Lansing,Wheelchair,Wednesday,2
Canceled,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Friday,2
Canceled,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Ambulatory,Monday,2
Canceled,Billed no show,Corewell Health Rehab & Nursing Center - Kentridge,Wheelchair,Thursday,2
Canceled,Billed no show,Bronson Behavioral Health Hospital,Ambulatory,Thursday,2
No show,No show,MTM,Wheelchair,Tuesday,2
Canceled,Billed no show,Battle Creek VA,Wheelchair,Thursday,2
No show,Billed no show,Ingham County Medical Care Facility,Wheelchair,Monday,2
No show,Billed no show,Holt Senior Care & Rehab Center,Wheelchair,Wednesday,2
No show,Billed no show,Corewell Health Rehab & Nursing Center - Kentridge,Wheelchair,Thursday,2
No show,Billed no show,Holt Senior Care & Rehab Center,Wheelchair,Monday,2
No show,Billed no show,Holt Senior Care & Rehab Center,Wheelchair,Friday,2
No show,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,SafeRide Health - Humana,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Rehabilitation Management and Consulting,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Intersect Health of Forest Hills,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,Mary Free Bed-Discharge,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,Laurels of Hudsonville,Wheelchair,Wednesday,2
No show,Billed no show,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Friday,2
Canceled,Billed no show,OBC,Wheelchair,Tuesday,2
Canceled,Same Day Cancel,SafeRide Health - Meridian Medicaid,Ambulatory,Monday,2
Canceled,Billed no show,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Monday,2
Canceled,Billed no show,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Friday,2
Canceled,Billed no show,Marshall Nursing & Rehab,Wheelchair,Friday,2
Canceled,Unable to Accommodate,MTM,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,MTM,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Marshall Nursing & Rehab,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,Marshall Nursing & Rehab,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Marshall Nursing & Rehab,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Monday,2
Canceled,Unable to Accommodate,OBC,Wheelchair,Friday,2
Canceled,Billed no show,Holt Senior Care & Rehab Center,Wheelchair,Friday,2
Canceled,Unable to Accommodate,OBC,Wheelchair,Saturday,2
Canceled,Unable to Accommodate,OBC,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,Optalis Healthcare of Grand Rapids,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Optalis Whitehall,Wheelchair,Tuesday,2
Canceled,Unable to Accommodate,Optalis at Kent-Crossing,Wheelchair,Friday,2
Canceled,Unable to Accommodate,PP,Ambulatory,Monday,2
Canceled,Billed no show,Ingham County Medical Care Facility,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,PP,Wheelchair,Thursday,2
Canceled,Unable to Accommodate,PP,Wheelchair,Tuesday,2
Canceled,Billed no show,Holt Senior Care & Rehab Center,Wheelchair,Wednesday,2
Canceled,Unable to Accommodate,Plainwell Pines Nursing & Rehabilitation Center,Wheelchair,Tuesday,2
No show,Billed no show,Intersect Health of Forest Hills,Wheelchair,Friday,2
Canceled,Unable to Accommodate,Rehabilitation Management and Consulting,Ambulatory,Saturday,2
Canceled,Confirmation Cancel,Bronson Battle Creek Hospital - Social Work,Ambulatory,Monday,2
Canceled,Billed no show,Villa at Borgess Place,Wheelchair,Friday,2
Canceled,Confirmation Cancel,Ingham County Medical Care Facility,Wheelchair,Friday,2
Canceled,No Show,MTM,Ambulatory,Tuesday,2
Canceled,Confirmation Cancel,"Managed Rehabilitation Consultants, Inc.",Ambulatory,Friday,2
Canceled,Confirmation Cancel,MTM,Wheelchair,Thursday,2
Canceled,Confirmation Cancel,Willows At East Lansing,Wheelchair,Monday,2
Canceled,Confirmation Cancel,Longevity Health - General,Stretcher,Friday,2
Canceled,No Show,Battle Creek VA,Ambulatory,Tuesday,2
Canceled,No Show,Battle Creek VA,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Longevity Health - General,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Laurels of Hudsonville,Wheelchair,Wednesday,2
Canceled,No Show,Battle Creek VA,Wheelchair,Wednesday,2
Canceled,No Show,Calhoun County MDHHS,Ambulatory,Wednesday,2
Canceled,No Show,Kent County MDHHS,Ambulatory,Thursday,2
Canceled,Confirmation Cancel,Laurels of Hudsonville,Wheelchair,Friday,2
Canceled,Confirmation Cancel,Lake Woods Nursing & Rehabilitation Center,Wheelchair,Thursday,2
Canceled,Confirmation Cancel,Kent County MDHHS,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Jackson County MDHHS,Ambulatory,Friday,2
Canceled,Confirmation Cancel,Friendship Village of Kalamazoo,Wheelchair,Wednesday,2
Canceled,Confirmation Cancel,Intersect Health of Forest Hills,Wheelchair,Friday,2
Canceled,No Show,MTM,Wheelchair,Monday,2
Canceled,Confirmation Cancel,Intersect Health of Forest Hills,Ambulatory,Monday,2
No show,Billed no show,Villa at Borgess Place,Wheelchair,Monday,2
No show,Billed no show,Villa at Borgess Place,Wheelchair,Friday,2
Canceled,No Show,PP,Wheelchair,Saturday,2
Canceled,No Show,PP,Wheelchair,Wednesday,2
Canceled,Confirmation Cancel,Holt Senior Care & Rehab Center,Ambulatory,Friday,2
Canceled,Confirmation Cancel,Hillcrest Nursing and Rehab Center,Wheelchair,Wednesday,2
Canceled,Confirmation Cancel,Hillcrest Nursing and Rehab Center,Wheelchair,Monday,2
Canceled,Confirmation Cancel,Hillcrest Nursing and Rehab Center,Wheelchair,Friday,2
Canceled,Confirmation Cancel,Harold and Grace Upjohn Community Care Center,Wheelchair,Tuesday,2
Canceled,Confirmation Cancel,Harbor Terrace,Stretcher,Monday,2
Canceled,No Show,SafeRide Health - Priority Medicaid,Wheelchair,Monday,2
Canceled,Confirmation Cancel,"Managed Rehabilitation Consultants, Inc.",Ambulatory,Monday,2
No show,No Show,Calhoun County MDHHS,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Marshall Nursing & Rehab,Ambulatory,Monday,2
Canceled,Confirmation Cancel,Mary Free Bed Rehabilitation Sub-Acute,Wheelchair,Thursday,2
Canceled,Confirmation Cancel,Plainwell Pines Nursing & Rehabilitation Center,Wheelchair,Wednesday,2
Canceled,Confirmation Cancel,Pinnacle Care of Battle Creek,Wheelchair,Friday,2
Canceled,Confirmation Cancel,Optalis at Leonard,Wheelchair,Thursday,2
Canceled,Confirmation Cancel,Optalis at Leonard,Wheelchair,Friday,2
Canceled,Confirmation Cancel,Rehabilitation Management and Consulting,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Rehabilitation Management and Consulting,Wheelchair,Thursday,2
Canceled,Confirmation Cancel,Optalis at Leonard,Stretcher,Thursday,2
Canceled,Confirmation Cancel,Reliance Community Care Partners,Ambulatory,Friday,2
Canceled,Confirmation Cancel,SafeRide Health - Meridian Medicaid,Ambulatory,Tuesday,2
Canceled,Confirmation Cancel,Optalis at Kent-Crossing,Wheelchair,Wednesday,2
Canceled,Confirmation Cancel,Optalis at Kent-Crossing,Stretcher,Wednesday,2
Canceled,Confirmation Cancel,SafeRide Health - Priority Medicaid,Ambulatory,Saturday,2
Canceled,Confirmation Cancel,Optalis at Kent-Crossing,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Optalis Wyoming,Stretcher,Monday,2
Canceled,Confirmation Cancel,Optalis Wyoming,Stretcher,Friday,2
Canceled,Confirmation Cancel,Optalis Wyoming,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Optalis Healthcare of Grand Rapids,Wheelchair,Saturday,2
Canceled,Confirmation Cancel,Optalis Healthcare of Grand Rapids,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Optalis - Muskegon,Stretcher,Wednesday,2
Canceled,Confirmation Cancel,Optalis - Muskegon,Stretcher,Tuesday,2
Canceled,Confirmation Cancel,Optalis - Muskegon,Stretcher,Thursday,2
Canceled,Confirmation Cancel,Optalis - Muskegon,Stretcher,Monday,2
Canceled,Confirmation Cancel,OBC,Ambulatory,Wednesday,2
Canceled,Confirmation Cancel,Saginaw Nursing and Rehab,Wheelchair,Wednesday,2
Canceled,Confirmation Cancel,The Willows at East Lansing,Stretcher,Wednesday,2
Canceled,Confirmation Cancel,U of M Health - West,Ambulatory,Friday,2
No show,Billed no show,Dimondale NCC,Wheelchair,Wednesday,2
Canceled,Confirmation Cancel,Mary Free Bed-Discharge,Wheelchair,Wednesday,2
